,id_img,denoiser,runtime
0,0,SD,0.00404581701150164
1,0,AD,0.004554418992483988
2,0,SD1,0.00029792499844916165
3,0,AD1,0.0003167380054946989
4,0,DRUNet,0.019236006017308682
5,0,SD_repeat_20,0.003959731024224311
6,0,SD_repeat_50,0.010059973981697112
7,0,SD_only1,0.00028384398319758475
8,0,AD_repeat_20,0.004521219991147518
9,0,AD_only1,0.00033633699058555067
10,1,SD,0.004005201015388593
11,1,AD,0.0045552150113508105
12,1,SD1,0.0002955980016849935
13,1,AD1,0.00031381798908114433
14,1,DRUNet,0.019173090026015416
15,1,SD_repeat_20,0.003942893003113568
16,1,SD_repeat_50,0.010060529020847753
17,1,SD_only1,0.00028548299451358616
18,1,AD_repeat_20,0.004534428007900715
19,1,AD_only1,0.0003336950030643493
20,2,SD,0.003976134990807623
21,2,AD,0.004547305987216532
22,2,SD1,0.00029681797605007887
23,2,AD1,0.00031412599491886795
24,2,DRUNet,0.019168304017512128
25,2,SD_repeat_20,0.003928887017536908
26,2,SD_repeat_50,0.010094822006067261
27,2,SD_only1,0.0002886709989979863
28,2,AD_repeat_20,0.00455162298749201
29,2,AD_only1,0.00033527601044625044
30,3,SD,0.004019974003313109
31,3,AD,0.004542078997474164
32,3,SD1,0.00029550600447691977
33,3,AD1,0.0003198200138285756
34,3,DRUNet,0.019168828992405906
35,3,SD_repeat_20,0.003924550022929907
36,3,SD_repeat_50,0.010015695996116847
37,3,SD_only1,0.00028599900542758405
38,3,AD_repeat_20,0.004536048014415428
39,3,AD_only1,0.00033623899798840284
40,4,SD,0.003992854006355628
41,4,AD,0.0045444860006682575
42,4,SD1,0.0002935350057668984
43,4,AD1,0.0003172610013280064
44,4,DRUNet,0.01914087400655262
45,4,SD_repeat_20,0.003944413008866832
46,4,SD_repeat_50,0.010031579993665218
47,4,SD_only1,0.00028406400815583766
48,4,AD_repeat_20,0.004553057020530105
49,4,AD_only1,0.0003324610006529838
50,5,SD,0.003963280993048102
51,5,AD,0.0045544650056399405
52,5,SD1,0.0002948740147985518
53,5,AD1,0.0003205719985999167
54,5,DRUNet,0.019095423980616033
55,5,SD_repeat_20,0.003843882994260639
56,5,SD_repeat_50,0.009821047977311537
57,5,SD_only1,0.00028368300991132855
58,5,AD_repeat_20,0.00452021902310662
59,5,AD_only1,0.00033361499663442373
60,6,SD,0.004025475995149463
61,6,AD,0.004797422996489331
62,6,SD1,0.00029602498398162425
63,6,AD1,0.00034197099739685655
64,6,DRUNet,0.01884783201967366
65,6,SD_repeat_20,0.003901902004145086
66,6,SD_repeat_50,0.010021844995208085
67,6,SD_only1,0.0002845010021701455
68,6,AD_repeat_20,0.004507061996264383
69,6,AD_only1,0.00033548599458299577
70,7,SD,0.003948107012547553
71,7,AD,0.00449520000256598
72,7,SD1,0.0002887279842980206
73,7,AD1,0.0003171440039295703
74,7,DRUNet,0.01887273899046704
75,7,SD_repeat_20,0.0038823329959996045
76,7,SD_repeat_50,0.010008520010160282
77,7,SD_only1,0.00027683598455041647
78,7,AD_repeat_20,0.0045330570137593895
79,7,AD_only1,0.00033002899726852775
80,8,SD,0.0039343099924735725
81,8,AD,0.004545033996691927
82,8,SD1,0.00029877701308578253
83,8,AD1,0.00030945101752877235
84,8,DRUNet,0.018889105005655438
85,8,SD_repeat_20,0.0038801170012447983
86,8,SD_repeat_50,0.010056217986857519
87,8,SD_only1,0.0002892299962695688
88,8,AD_repeat_20,0.004544627998257056
89,8,AD_only1,0.0003364739823155105
90,9,SD,0.0039750009891577065
91,9,AD,0.004480711999349296
92,9,SD1,0.00028792000375688076
93,9,AD1,0.00030404902645386755
94,9,DRUNet,0.018843997997464612
95,9,SD_repeat_20,0.0038433499867096543
96,9,SD_repeat_50,0.009732301987241954
97,9,SD_only1,0.00027676098397932947
98,9,AD_repeat_20,0.004478969989577308
99,9,AD_only1,0.00033239199547097087
100,10,SD,0.0039632330008316785
101,10,AD,0.0045437469962053
102,10,SD1,0.0002921700070146471
103,10,AD1,0.0003115799918305129
104,10,DRUNet,0.018856676993891597
105,10,SD_repeat_20,0.003938506008125842
106,10,SD_repeat_50,0.010025201976532117
107,10,SD_only1,0.00028254499193280935
108,10,AD_repeat_20,0.004513691004831344
109,10,AD_only1,0.0003359080001246184
110,11,SD,0.003960224014008418
111,11,AD,0.004514460015343502
112,11,SD1,0.00028508700779639184
113,11,AD1,0.00030687099206261337
114,11,DRUNet,0.01882933799060993
115,11,SD_repeat_20,0.0038334429846145213
116,11,SD_repeat_50,0.009777122992090881
117,11,SD_only1,0.000276542006758973
118,11,AD_repeat_20,0.004481833981117234
119,11,AD_only1,0.00032856001053005457
120,12,SD,0.0039483639993704855
121,12,AD,0.004521283000940457
122,12,SD1,0.0002888629969675094
123,12,AD1,0.0003120299952570349
124,12,DRUNet,0.018838288000551984
125,12,SD_repeat_20,0.0038810870028100908
126,12,SD_repeat_50,0.009957689995644614
127,12,SD_only1,0.00028356199618428946
128,12,AD_repeat_20,0.004565100010950118
129,12,AD_only1,0.00033528698259033263
130,13,SD,0.003967118012951687
131,13,AD,0.004566087998682633
132,13,SD1,0.0002902249980252236
133,13,AD1,0.0003101570182479918
134,13,DRUNet,0.018860290991142392
135,13,SD_repeat_20,0.0038452830049209297
136,13,SD_repeat_50,0.009907288011163473
137,13,SD_only1,0.0002821229863911867
138,13,AD_repeat_20,0.00451921799685806
139,13,AD_only1,0.0003334999782964587
140,14,SD,0.003915338020306081
141,14,AD,0.0045318990014493465
142,14,SD1,0.0002938350080512464
143,14,AD1,0.0003058729926124215
144,14,DRUNet,0.018852242996217683
145,14,SD_repeat_20,0.003860562981572002
146,14,SD_repeat_50,0.00994620201527141
147,14,SD_only1,0.00028848001966252923
148,14,AD_repeat_20,0.004538945999229327
149,14,AD_only1,0.00033510400680825114
150,15,SD,0.0039883739955257624
151,15,AD,0.004564272006973624
152,15,SD1,0.0002921379928011447
153,15,AD1,0.00031542201759293675
154,15,DRUNet,0.018848622014047578
155,15,SD_repeat_20,0.0038757869915571064
156,15,SD_repeat_50,0.0099890370038338
157,15,SD_only1,0.0002816740015987307
158,15,AD_repeat_20,0.004502732015680522
159,15,AD_only1,0.0003336869995109737
160,16,SD,0.003963816008763388
161,16,AD,0.004502254974795505
162,16,SD1,0.00029004798852838576
163,16,AD1,0.0003071899991482496
164,16,DRUNet,0.018836564995581284
